ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
2014-08-23 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-24 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-25 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-26 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-27 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-28 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-29 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-30 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-08-31 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-01 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-02 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-03 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-04 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-05 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-06 07:30:00,0.0517,0.0419,0.0528,0.102,0.1143,0.089,0.1014,0.1044,0.1064,0.1192,0.0988,0.0661,0.0547,0.0644,0.0885,0.071,0.0685,0.047,0.0309,0.0171,0.0028,0.0098,0.0249,0.0315,0.0136,-0.0023,0.013,-0.0022,-0.0087,-0.0102,-0.0221,-0.0321,-0.0256,-0.0306,-0.0167,-0.0025,0.0131,0.0068,0.0068,0.0053,0.0
2014-09-07 07:30:00,0.0556,0.0451,0.056,0.1047,0.117,0.0917,0.1038,0.1068,0.1088,0.1214,0.101,0.0683,0.0569,0.0666,0.0907,0.0727,0.0702,0.0487,0.0326,0.0188,0.0045,0.0115,0.0261,0.0327,0.0143,-0.0016,0.0137,-0.0015,-0.008,-0.0095,-0.0214,-0.0314,-0.0249,-0.0299,-0.016,-0.0018,0.0138,0.0068,0.0068,0.0053,0.0
2014-09-08 07:30:00,0.0536,0.0436,0.0545,0.1032,0.1155,0.0902,0.1023,0.1053,0.1073,0.1204,0.1,0.0678,0.0564,0.0661,0.0897,0.0717,0.0692,0.0477,0.0316,0.0178,0.0035,0.0105,0.0251,0.0317,0.0138,-0.0021,0.0132,-0.002,-0.0085,-0.0095,-0.0214,-0.0314,-0.0249,-0.0299,-0.016,-0.0018,0.0138,0.0068,0.0068,0.0053,0.0
2014-09-09 07:30:00,0.0537,0.0442,0.0551,0.1038,0.1161,0.0908,0.1029,0.1064,0.1079,0.121,0.1006,0.0684,0.0575,0.0672,0.0908,0.0728,0.0703,0.0488,0.0327,0.0194,0.0051,0.0121,0.0267,0.0333,0.0148,-0.0011,0.0142,-0.001,-0.0075,-0.009,-0.0209,-0.0309,-0.0244,-0.0294,-0.0155,-0.0013,0.0143,0.0073,0.0068,0.0053,0.0
2014-09-10 07:30:00,0.0525,0.0427,0.0536,0.1023,0.1147,0.0895,0.1017,0.1052,0.1067,0.1203,0.0999,0.0682,0.0573,0.067,0.0901,0.0717,0.0692,0.0472,0.0311,0.0178,0.0036,0.0106,0.0252,0.0319,0.0139,-0.002,0.0133,-0.0018,-0.0083,-0.0097,-0.0216,-0.0316,-0.0251,-0.0301,-0.0162,-0.002,0.0136,0.007,0.0068,0.0053,0.0
2014-09-11 07:30:00,0.0531,0.0436,0.0545,0.1032,0.116,0.0902,0.1023,0.1058,0.1073,0.121,0.1006,0.0694,0.059,0.0687,0.0913,0.0728,0.0698,0.0478,0.0317,0.0184,0.0046,0.0116,0.0262,0.0333,0.0148,-0.0011,0.0142,-0.001,-0.0075,-0.009,-0.0209,-0.0309,-0.0244,-0.0294,-0.0155,-0.0013,0.0143,0.0073,0.0068,0.0053,0.0
2014-09-12 07:30:00,0.0532,0.0442,0.0551,0.1038,0.1166,0.0908,0.1029,0.1064,0.1079,0.1215,0.1011,0.0699,0.0595,0.0687,0.0913,0.0727,0.0697,0.0477,0.0316,0.0183,0.0045,0.0115,0.0261,0.0327,0.0148,-0.0011,0.0142,-0.001,-0.0075,-0.009,-0.0209,-0.0309,-0.0244,-0.0294,-0.0155,-0.0013,0.0143,0.0073,0.0068,0.0053,0.0
2014-09-13 07:30:00,0.053,0.044,0.0549,0.1036,0.1164,0.0906,0.1027,0.1062,0.1077,0.1219,0.1015,0.0703,0.0599,0.0691,0.0912,0.0727,0.0697,0.0477,0.0316,0.0183,0.0045,0.0115,0.0261,0.0332,0.0148,-0.0011,0.0142,-0.001,-0.0075,-0.009,-0.0209,-0.0309,-0.0244,-0.0294,-0.0155,-0.0013,0.0143,0.0073,0.0068,0.0053,0.0
2014-09-14 07:30:00,0.053,0.044,0.0549,0.1036,0.1164,0.0906,0.1027,0.1062,0.1077,0.1219,0.1015,0.0703,0.0599,0.0691,0.0912,0.0727,0.0697,0.0477,0.0316,0.0183,0.0045,0.0115,0.0261,0.0332,0.0148,-0.0011,0.0142,-0.001,-0.0075,-0.009,-0.0209,-0.0309,-0.0244,-0.0294,-0.0155,-0.0013,0.0143,0.0073,0.0068,0.0053,0.0
2014-09-15 07:30:00,0.0564,0.0469,0.0578,0.106,0.1188,0.0925,0.1035,0.107,0.1085,0.1221,0.1017,0.071,0.0606,0.0687,0.0893,0.0703,0.0678,0.0463,0.0307,0.0184,0.0046,0.0116,0.0262,0.0333,0.0148,-0.0011,0.0142,-0.001,-0.0075,-0.009,-0.0209,-0.0309,-0.0244,-0.0294,-0.0155,-0.0013,0.0143,0.0073,0.0068,0.0053,0.0
2014-09-16 07:30:00,0.056,0.0465,0.0574,0.1056,0.1183,0.0923,0.1036,0.1071,0.1086,0.1224,0.102,0.0713,0.0609,0.069,0.0896,0.0706,0.0681,0.0466,0.031,0.0188,0.005,0.0116,0.0262,0.0333,0.0148,-0.0011,0.0142,-0.0009,-0.0074,-0.0089,-0.0212,-0.0312,-0.0247,-0.0297,-0.0162,-0.002,0.0135,0.007,0.0068,0.0053,0.0
2014-09-17 07:30:00,0.0572,0.0477,0.0586,0.1068,0.1196,0.0933,0.1043,0.1078,0.1093,0.1229,0.1025,0.0718,0.0614,0.0695,0.0901,0.0711,0.0686,0.0471,0.0315,0.0192,0.0054,0.0124,0.027,0.0341,0.0157,-0.0002,0.0151,-0.0001,-0.0066,-0.0081,-0.0205,-0.0305,-0.024,-0.029,-0.0156,-0.0014,0.0142,0.0073,0.0068,0.0053,0.0
